#;Player;Score;Kills;Death;Damage;Map Count
1;donk;6.9;0.86;0.68;89.61;250
2;ZywOo;6.9;0.81;0.59;83.86;597
3;s1mple;6.9;0.83;0.60;84.24;539
4;sh1ro;6.7;0.77;0.53;76.96;547
5;MATYS;6.6;0.80;0.71;86.96;275
6;m0NESY;6.6;0.76;0.59;76.27;341
7;deko;6.6;0.78;0.59;78.86;318
8;NiKo;6.6;0.76;0.65;85.23;607
9;blameF;6.6;0.74;0.61;83.49;587
10;nilo;6.5;0.78;0.66;83.62;243
11;w0nderful;6.5;0.75;0.57;75.42;245
12;XANTARES;6.5;0.74;0.65;83.70;485
13;dev1ce;6.5;0.74;0.61;78.06;475
14;h4rn;6.5;0.73;0.58;75.14;236
15;insani;6.4;0.74;0.65;81.71;218
16;mhL;6.4;0.74;0.63;79.56;289
17;Ax1Le;6.4;0.73;0.63;81.31;582
18;Woro2k;6.4;0.75;0.63;77.06;445
19;ropz;6.4;0.74;0.61;78.36;587
20;KSCERATO;6.4;0.71;0.59;78.86;515
21;degster;6.4;0.73;0.58;73.07;305
22;reiko;6.4;0.75;0.70;82.78;256
23;Jimpphat;6.4;0.72;0.60;77.69;267
24;frozen;6.4;0.72;0.61;80.53;525
25;NAF;6.4;0.70;0.61;79.36;538
26;oskar;6.4;0.73;0.61;74.98;320
27;Nertz;6.4;0.73;0.65;79.84;274
28;EliGE;6.4;0.73;0.68;81.76;571
29;broky;6.3;0.72;0.61;74.22;619
30;ArtFr0st;6.3;0.71;0.54;70.52;256
31;stavn;6.3;0.72;0.65;81.09;565
32;tomiko;6.3;0.76;0.71;80.45;229
33;HeavyGod;6.3;0.72;0.63;80.14;271
34;r1nkle;6.3;0.73;0.64;75.82;230
35;KENSI;6.3;0.72;0.66;80.73;488
36;Spinx;6.3;0.72;0.63;77.43;421
37;dav1deuS;6.3;0.73;0.68;81.00;228
38;sl3nd;6.3;0.70;0.58;74.84;230
39;REDSTAR;6.3;0.71;0.63;76.58;285
40;Jame;6.3;0.68;0.52;68.58;530
41;FL1T;6.3;0.70;0.64;81.03;437
42;dgt;6.3;0.72;0.61;77.46;200
43;jkaem;6.3;0.73;0.71;82.46;461
44;jL;6.3;0.73;0.67;79.92;351
45;d1Ledez;6.3;0.72;0.68;78.93;272
46;yuurih;6.3;0.70;0.63;79.90;516
47;nicoodoz;6.3;0.72;0.62;74.43;445
48;BOROS;6.3;0.76;0.73;81.61;263
49;SunPayus;6.3;0.70;0.58;72.07;319
50;slaxz-;6.3;0.70;0.60;71.92;339
51;afro;6.3;0.72;0.63;73.68;265
52;YEKINDAR;6.3;0.71;0.70;81.34;511
53;HEN1;6.3;0.67;0.57;73.66;411
54;mir;6.3;0.70;0.65;77.93;347
55;malbsMd;6.3;0.73;0.72;80.92;251
56;syrsoN;6.3;0.70;0.61;71.27;532
57;MoDo;6.3;0.72;0.60;70.69;221
58;dumau;6.3;0.70;0.65;78.87;255
59;Maka;6.3;0.70;0.59;72.40;331
60;torzsi;6.3;0.70;0.59;70.85;344
61;Martinez;6.3;0.70;0.60;69.98;219
62;ewjerkz;6.3;0.71;0.69;79.76;309
63;felps;6.3;0.72;0.70;81.43;242
64;headtr1ck;6.2;0.70;0.59;71.42;214
65;zorte;6.2;0.70;0.59;70.52;426
66;r3salt;6.2;0.71;0.68;79.45;346
67;huNter;6.2;0.71;0.66;77.98;608
68;Hobbit;6.2;0.70;0.64;78.52;592
69;mantuu;6.2;0.70;0.59;70.29;404
70;electroNic;6.2;0.70;0.66;79.02;631
