Player;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0
ZywOo;;1263;33050;+7706;1.38;1.27
s1mple;;1727;45750;+9669;1.33;1.24
sh1ro;;1120;29619;+7008;1.44;1.22
donk;;399;10154;+1648;1.24;1.21
deko;;821;21416;+4459;1.36;1.20
m0NESY;;514;13148;+2447;1.31;1.19
d4v41;;308;8005;+1358;1.27;1.18
smooya;;1034;27098;+4537;1.27;1.18
w0nderful;;472;12234;+2374;1.34;1.18
ANa;;206;4943;+877;1.30;1.18
degster;;833;22369;+3953;1.29;1.18
kaze;;1094;28150;+4881;1.30;1.17
Laz;;269;6862;+1148;1.27;1.17
XANTARES;;2086;54870;+7425;1.20;1.17
sterling;;967;24789;+4347;1.29;1.16
nettik;;441;10961;+1627;1.23;1.16
SENSEi;;623;16671;+3187;1.35;1.16
DANK1NG;;457;12106;+1897;1.25;1.16
device;;2009;52209;+8121;1.25;1.16
cosmeeeN;;319;8310;+1109;1.20;1.16
try;;503;13350;+2143;1.27;1.16
blameF;;1151;30646;+4854;1.26;1.15
NiKo;;1876;49513;+6272;1.19;1.15
regali;;435;11824;+1741;1.24;1.14
ArtFr0st;;396;10096;+1804;1.33;1.14
saffee;;668;17200;+2513;1.24;1.14
Benkai;;603;15560;+2046;1.20;1.14
KSCERATO;;1139;29393;+4539;1.27;1.14
ju1ces;;222;5737;+734;1.20;1.14
dizzyLife;;345;8772;+1208;1.22;1.14
BnTeT;;1114;29019;+3806;1.21;1.14
JamYoung;;579;14762;+1919;1.21;1.14
torzsi;;719;18684;+2624;1.23;1.13
GooseBreeder;;273;6500;+878;1.21;1.13
Texta;;631;15863;+1742;1.16;1.13
Jame;;1443;37791;+6369;1.31;1.13
Woro2k;;815;21329;+2867;1.21;1.13
ROGA;;241;6551;+958;1.24;1.13
coldzera;;1681;43739;+5852;1.22;1.13
frozen;;1474;38107;+4551;1.19;1.13
history;;216;5600;+841;1.26;1.13
podi;;315;8259;+1257;1.26;1.13
Jimpphat;;491;12770;+1650;1.21;1.13
oskar;;1881;49194;+6109;1.20;1.12
mhL;;823;21963;+2805;1.20;1.12
fredi;;235;6075;+647;1.16;1.12
Ganginho;;237;6061;+778;1.20;1.12
XigN;;844;21823;+2448;1.17;1.12
INS;;1165;29169;+3253;1.17;1.12
mattcd;;236;6044;+766;1.21;1.12
jOELZ;;247;6433;+720;1.17;1.12
liTTle;;458;12159;+1550;1.20;1.12
dgt;;701;18214;+2435;1.22;1.12
kennyS;;1991;52684;+6521;1.20;1.12
ropz;;1432;37517;+4774;1.21;1.12
h4rn;;897;23919;+3303;1.23;1.12
zevy;;588;15159;+1901;1.20;1.12
mantuu;;843;22272;+2752;1.20;1.12
El1an;;1450;38643;+4980;1.21;1.12
zAAz;;289;6849;+674;1.15;1.12
Jamppi;;503;13449;+1408;1.16;1.12
wrath;;525;13568;+1239;1.13;1.12
